Target Vol %,1. Bagasse Utilized (MT),4. Ton-Kilometers (Net),2. Est. Cost (INR),3. Est. CO₂ (kg),5. Fleet Time (Hours)
100%,2130902.5919999983,67213894.45767164,336069472.2883582,6004441.238218667,168034.7361441791
95%,2024357.4623999982,52523123.188142136,262615615.94071066,4692065.671474032,131307.80797035535
90%,1917812.3327999986,43806718.19347137,219033590.96735686,3913400.1586167766,109516.79548367843
85%,1811267.2031999985,37457542.944448434,187287714.72224218,3346207.16970406,93643.85736112107
80%,1704722.0735999988,32248684.817401882,161243424.0870094,2880882.5103545683,80621.71204350471
75%,1598176.9439999987,27938133.569999285,139690667.84999642,2495806.598919936,69845.33392499821
70%,1491631.8143999986,24204398.31677144,121021991.58385721,2162259.5829649153,60510.995791928595
60%,1278541.555199999,17800367.26436924,89001836.32184619,1590166.142283652,44500.918160923095
50%,1065451.2959999992,12786949.908322874,63934749.54161437,1142300.8584768435,31967.374770807182
