Sugar Mill Source,Ethanol Plant Destination,Bagasse Allocated (MT),Transport Distance (km),Ton-Kilometers
Onkar Sugar & Distillery Power Pvt. Ltd. (Farale Unit-3),Shri Chhatrapati Rajaram SSK Ltd.,6916.0,43.1,298048.95
Ajara Shetkari Sahakari Sakhar Karkhana Ltd.,Shri Chhatrapati Rajaram SSK Ltd.,6916.0,67.73,468389.01
Swami Samarth Sugar and Agro Industries Ltd.,Shri Dnyaneshwar SSK Ltd.,6916.0,4.68,32391.82
Swami Samarth Sugar and Agro Industries Ltd.,Shri Dnyaneshwar SSK Ltd.,6916.0,4.68,32391.82
"Rajeev Agro Power Pvt. Ltd. (Bhairavnath Sugar Works Ltd., Unit-IV)",Shri Dnyaneshwar SSK Ltd.,6916.0,12.61,87243.32
Mula Sahakari Sakhar Karkhana Ltd.,Shri Dnyaneshwar SSK Ltd.,307.2,18.96,5824.88
Sangharshyoddha Babanrao Dahanake Kedareswar SSK Ltd.,Shri Dnyaneshwar SSK Ltd.,6916.0,19.9,137643.73
Sachin Ghayal Sugar Pvt. Ltd. (Lease Unit Shree Sant Eknath S.S.K. Ltd.),Shri Dnyaneshwar SSK Ltd.,6916.0,46.16,319273.74
Shri Renukadevi Sharad Sahakari Sakhar Karkhana Ltd.,Shri Dnyaneshwar SSK Ltd.,3458.0,49.26,170350.46
Shri Renukadevi Sharad Sahakari Sakhar Karkhana Ltd.,Shri Dnyaneshwar SSK Ltd.,3458.0,49.26,170350.46
Chhatrapati Sambhaji Raje Sakhar Udyog Ltd.,Shri Dnyaneshwar SSK Ltd.,3196.8,65.12,208190.45
Raiganga Sugar and Allied Product LLP (Operator of Banganga SSK Ltd.),Shri Makai SSK Ltd.,3458.0,6.75,23337.5
Vrindavan Sugar and Allied Products LLP (Indreshwar Sugar),Shri Makai SSK Ltd.,6916.0,21.24,146870.8
Bhimashankar Sugar Mills Pvt. Ltd.,Shri Makai SSK Ltd.,1383.2,24.31,33622.65
Bhairavnath Sugar Works Ltd. (Unit-I),Shri Makai SSK Ltd.,3458.0,29.76,102903.35
Bhairavnath Sugar Works Ltd. (Unit-V),Shri Makai SSK Ltd.,3458.0,30.57,105713.12
Bhairavnath Sugar Works Ltd. (Unit No. 07),Shri Makai SSK Ltd.,3458.0,31.02,107262.26
Bhairavnath Sugar Works Ltd. (Unit No. 07),Shri Makai SSK Ltd.,3458.0,31.02,107262.26
Onkar Sugar Corporation Pvt. Ltd. (Unit-6),Shri Makai SSK Ltd.,1068.93,39.01,41701.81
Babanraoji Shinde Sugar & Allied Industries Ltd.,Shri Makai SSK Ltd.,9351.07,42.62,398503.37
Baramati Agro Ltd. – Unit 3 (Jaishriram),Shri Makai SSK Ltd.,5532.8,51.75,286307.12
D.V.P. Commodity Export (Shri Gajanan Sahakari Sakhar Karkhana Ltd.),Shri Makai SSK Ltd.,3458.0,65.33,225911.32
Karmayogi Kundlikrao Ramrao Jagtap Patil Kukadi SSK Ltd.,Shri Saikrupa Sugar & Allied Industries,9682.4,7.83,75830.69
Piyush Sugar and Power Pvt. Ltd.,Shri Saikrupa Sugar & Allied Industries,6916.0,13.68,94618.98
