Target Volume %,Bagasse Delivered (MT),Total Ton-KM,Average Haul Distance (km)
100%,2130902.5919999983,67213894.45767164,31.54245281319349
95%,2024357.4623999982,52523123.188142136,25.945577381315253
90%,1917812.3327999986,43806718.19347137,22.842025491364804
85%,1811267.2031999985,37457542.944448434,20.680296578147892
80%,1704722.0735999988,32248684.817401882,18.917268284852874
75%,1598176.9439999987,27938133.569999285,17.481251794356574
70%,1491631.8143999986,24204398.31677144,16.226791412670114
60%,1278541.555199999,17800367.26436924,13.922400247354318
50%,1065451.2959999992,12786949.908322874,12.00144009991695
